"","last_updated_utc","region_slug","region_name","country_name","country_iso_code","country_idb_code","region_type","population","timezone","month","day","dow","ratio_20","tcp","X15"
"34",2020-06-03 10:48:22,"sorocaba","Sorocaba","Brazil","BR","BR","city",669302,"America/Sao_Paulo",3,23,1,0.356956701172874,-64.3043298827126,NA
"35",2020-06-03 10:48:22,"sorocaba","Sorocaba","Brazil","BR","BR","city",669302,"America/Sao_Paulo",3,9,1,1.06986124644932,6.98612464493176,NA
"36",2020-06-03 10:48:22,"sorocaba","Sorocaba","Brazil","BR","BR","city",669302,"America/Sao_Paulo",3,16,1,0.746236011034077,-25.3763988965923,NA
"37",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",4,14,2,0.292612908893482,-70.7387091106519,NA
"38",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",3,17,2,0.543975152653761,-45.6024847346239,NA
"39",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",3,10,2,1.00613597649407,0.61359764940736,NA
"40",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",3,31,2,0.253170269838765,-74.6829730161235,NA
"41",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",5,12,2,0.119178585873135,-88.0821414126865,NA
"42",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",4,28,2,0.156509257309071,-84.3490742690929,NA
"43",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",4,21,2,0.121326394866513,-87.8673605133487,NA
"44",2020-06-03 10:48:22,"saoluis","São Luís","Brazil","BR","BR","city",1215204,"America/Fortaleza",3,24,2,0.0972927063136879,-90.2707293686312,NA
"45",2020-06-03 10:48:22,"santodomingo","Santo Domingo","Dominican Republic","DO","DR","city",3979628,"America/Santo_Domingo",4,13,1,0.0942635396762085,-90.5736460323791,NA
"46",2020-06-03 10:48:22,"santodomingo","Santo Domingo","Dominican Republic","DO","DR","city",3979628,"America/Santo_Domingo",5,11,1,0.201919251414459,-79.8080748585541,NA
"47",2020-06-03 10:48:22,"santodomingo","Santo Domingo","Dominican Republic","DO","DR","city",3979628,"America/Santo_Domingo",3,30,1,0.101114116738311,-89.8885883261689,NA
"48",2020-06-03 10:48:22,"santodomingo","Santo Domingo","Dominican Republic","DO","DR","city",3979628,"America/Santo_Domingo",3,16,1,0.490477022387382,-50.9522977612618,NA
"49",2020-06-03 10:48:22,"santos","Santos","Brazil","BR","BR","city",1416021,"America/Sao_Paulo",3,25,3,0.276164693014785,-72.3835306985215,NA
"50",2020-06-03 10:48:22,"santos","Santos","Brazil","BR","BR","city",1416021,"America/Sao_Paulo",4,15,3,0.307332969400976,-69.2667030599024,NA
